Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,7,61754,6004253,Contra Costa,Mt. Diablo Unified,Sequoia Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,528,42,8.00%,56,10.60%,528,42,8.00%,56,10.60%,Y
2016-2017,7,61754,6004261,Contra Costa,Mt. Diablo Unified,Riverview Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,808,638,79.00%,721,89.20%,808,638,79.00%,721,89.20%,Y
2016-2017,7,61754,6004295,Contra Costa,Mt. Diablo Unified,Shore Acres Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,539,426,79.00%,493,91.50%,528,419,79.40%,484,91.70%,Y
2016-2017,7,61754,6004303,Contra Costa,Mt. Diablo Unified,Silverwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,513,151,29.40%,180,35.10%,495,150,30.30%,178,36.00%,Y
2016-2017,7,61754,6004311,Contra Costa,Mt. Diablo Unified,Strandwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,634,57,9.00%,72,11.40%,624,57,9.10%,72,11.50%,Y
2016-2017,7,61754,6004329,Contra Costa,Mt. Diablo Unified,Sun Terrace Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,522,303,58.00%,372,71.30%,517,302,58.40%,370,71.60%,Y
2016-2017,7,61754,6004337,Contra Costa,Mt. Diablo Unified,Valhalla Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,581,96,16.50%,117,20.10%,581,96,16.50%,117,20.10%,Y
2016-2017,7,61754,6004345,Contra Costa,Mt. Diablo Unified,Valle Verde Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,497,32,6.40%,43,8.70%,483,31,6.40%,41,8.50%,Y
2016-2017,7,61754,6004352,Contra Costa,Mt. Diablo Unified,Valley View Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,836,242,28.90%,303,36.20%,836,242,28.90%,303,36.20%,Y
2016-2017,7,61754,6004360,Contra Costa,Mt. Diablo Unified,Walnut Acres Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,643,35,5.40%,40,6.20%,625,35,5.60%,39,6.20%,Y
2016-2017,7,61754,6004378,Contra Costa,Mt. Diablo Unified,Westwood Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,332,120,36.10%,144,43.40%,332,120,36.10%,144,43.40%,Y
2016-2017,7,61754,6004394,Contra Costa,Mt. Diablo Unified,Woodside Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,367,101,27.50%,135,36.80%,359,99,27.60%,133,37.00%,Y
2016-2017,7,61754,6004402,Contra Costa,Mt. Diablo Unified,Wren Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,523,328,62.70%,377,72.10%,516,323,62.60%,372,72.10%,Y
2016-2017,7,61754,6004410,Contra Costa,Mt. Diablo Unified,Ygnacio Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,475,342,72.00%,400,84.20%,465,336,72.30%,391,84.10%,Y
2016-2017,7,61754,6096226,Contra Costa,Mt. Diablo Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,554,450,81.20%,511,92.20%,554,450,81.20%,511,92.20%,Y
2016-2017,7,61754,6105357,Contra Costa,Mt. Diablo Unified,Sequoia Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,932,251,26.90%,324,34.80%,932,251,26.90%,324,34.80%,Y
2016-2017,7,61754,6111504,Contra Costa,Mt. Diablo Unified,Diablo View Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,731,91,12.40%,115,15.70%,731,91,12.40%,115,15.70%,Y
2016-2017,7,61754,6112395,Contra Costa,Mt. Diablo Unified,Gregory Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,403,123,30.50%,148,36.70%,391,121,30.90%,146,37.30%,Y
2016-2017,7,61754,6114904,Contra Costa,Mt. Diablo Unified,Pleasant Hill Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,909,268,29.50%,323,35.50%,909,268,29.50%,323,35.50%,Y
2016-2017,7,61754,6118087,Contra Costa,Mt. Diablo Unified,Eagle Peak Montessori,Unified School District,Elementary Schools (Public),Traditional,,Yes,305,Locally funded,N,1,8,234,14,6.00%,14,6.00%,234,14,6.00%,14,6.00%,Y
2016-2017,7,61762,1,Contra Costa,Oakley Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,2,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,Y
2016-2017,7,61762,110684,Contra Costa,Oakley Union Elementary,Iron House Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,737,272,36.90%,325,44.10%,727,270,37.10%,322,44.30%,Y
2016-2017,7,61762,129064,Contra Costa,Oakley Union Elementary,Almond Grove Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,449,91,20.30%,109,24.30%,435,91,20.90%,108,24.80%,Y
2016-2017,7,61762,6004428,Contra Costa,Oakley Union Elementary,Oakley Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,409,245,59.90%,282,68.90%,399,243,60.90%,280,70.20%,Y
2016-2017,7,61762,6096234,Contra Costa,Oakley Union Elementary,Gehringer Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,783,296,37.80%,351,44.80%,770,291,37.80%,344,44.70%,Y
2016-2017,7,61762,6108765,Contra Costa,Oakley Union Elementary,O'Hara Park Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,874,299,34.20%,350,40.00%,874,299,34.20%,350,40.00%,Y
2016-2017,7,61762,6110803,Contra Costa,Oakley Union Elementary,Laurel Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,462,102,22.10%,150,32.50%,451,99,22.00%,145,32.20%,Y
2016-2017,7,61762,6110811,Contra Costa,Oakley Union Elementary,Vintage Parkway Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,529,174,32.90%,234,44.20%,529,174,32.90%,234,44.20%,Y
2016-2017,7,61762,6119226,Contra Costa,Oakley Union Elementary,Delta Vista Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,770,290,37.70%,350,45.50%,770,290,37.70%,350,45.50%,Y
2016-2017,7,61770,1,Contra Costa,Orinda Union Elementary,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,4,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2016-2017,7,61770,6004444,Contra Costa,Orinda Union Elementary,Del Rey Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,434,3,0.70%,3,0.70%,422,2,0.50%,2,0.50%,Y
2016-2017,7,61770,6004451,Contra Costa,Orinda Union Elementary,Glorietta Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,455,1,0.20%,1,0.20%,455,1,0.20%,1,0.20%,Y
2016-2017,7,61770,6004477,Contra Costa,Orinda Union Elementary,Orinda Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,875,5,0.60%,5,0.60%,875,5,0.60%,5,0.60%,Y
2016-2017,7,61770,6004501,Contra Costa,Orinda Union Elementary,Sleepy Hollow Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,383,1,0.30%,1,0.30%,374,1,0.30%,1,0.30%,Y
2016-2017,7,61770,6066583,Contra Costa,Orinda Union Elementary,Wagner Ranch Elementary,Elementary School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,391,3,0.80%,3,0.80%,381,3,0.80%,3,0.80%,Y
2016-2017,7,61788,1,Contra Costa,Pittsburg Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,34,6,17.60%,6,17.60%,29,6,20.70%,6,20.70%,Y
2016-2017,7,61788,116863,Contra Costa,Pittsburg Unified,Marina Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,701,456,65.00%,542,77.30%,684,449,65.60%,530,77.50%,Y
2016-2017,7,61788,125435,Contra Costa,Pittsburg Unified,Martin Luther King Jr. Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,739,469,63.50%,562,76.00%,739,469,63.50%,562,76.00%,Y
2016-2017,7,61788,730184,Contra Costa,Pittsburg Unified,Black Diamond High (Continuation),Unified School District,Continuation High Schools,Continuation School,,No ,,,N,9,12,222,137,61.70%,148,66.70%,203,123,60.60%,134,66.00%,Y
2016-2017,7,61788,735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,3421,1791,52.40%,2236,65.40%,3311,1733,52.30%,2165,65.40%,Y
2016-2017,7,61788,6004527,Contra Costa,Pittsburg Unified,Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,657,398,60.60%,479,72.90%,644,391,60.70%,469,72.80%,Y
2016-2017,7,61788,6004535,Contra Costa,Pittsburg Unified,Highlands Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,533,351,65.90%,410,76.90%,526,348,66.20%,406,77.20%,Y
2016-2017,7,61788,6004543,Contra Costa,Pittsburg Unified,Los Medanos Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,749,457,61.00%,568,75.80%,737,455,61.70%,564,76.50%,Y
2016-2017,7,61788,6004568,Contra Costa,Pittsburg Unified,Parkside Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,648,433,66.80%,531,81.90%,633,425,67.10%,521,82.30%,Y
2016-2017,7,61788,6004576,Contra Costa,Pittsburg Unified,Willow Cove Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,695,446,64.20%,542,78.00%,681,441,64.80%,536,78.70%,Y
2016-2017,7,61788,6061162,Contra Costa,Pittsburg Unified,Hillview Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,978,538,55.00%,697,71.30%,978,538,55.00%,697,71.30%,Y
2016-2017,7,61788,6084966,Contra Costa,Pittsburg Unified,Rancho Medanos Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,,No ,,,N,6,8,862,531,61.60%,651,75.50%,862,531,61.60%,651,75.50%,Y
2016-2017,7,61788,6098578,Contra Costa,Pittsburg Unified,Foothill Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,577,315,54.60%,413,71.60%,572,313,54.70%,410,71.70%,Y
2016-2017,7,61788,6109383,Contra Costa,Pittsburg Unified,Stoneman Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,5,673,380,56.50%,476,70.70%,666,377,56.60%,472,70.90%,Y
2016-2017,7,61796,0,Contra Costa,West Contra Costa Unified,District Office,Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,P,Adult,47,12,25.50%,13,27.70%,44,11,25.00%,12,27.30%,Y
2016-2017,7,61796,1,Contra Costa,West Contra Costa Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,85,17,20.00%,18,21.20%,74,17,23.00%,18,24.30%,Y
2016-2017,7,61796,101477,Contra Costa,West Contra Costa Unified,Leadership Public Schools: Richmond,Unified School District,High Schools (Public),Traditional,,Yes,557,Directly funded,Y,9,12,548,370,67.50%,456,83.20%,528,355,67.20%,438,83.00%,Y
2016-2017,7,61796,110973,Contra Costa,West Contra Costa Unified,Richmond College Preparatory,Unified School District,Elementary Schools (Public),Traditional,,Yes,755,Directly funded,Y,K,6,436,291,66.70%,354,81.20%,416,281,67.50%,338,81.30%,Y
2016-2017,7,61796,126805,Contra Costa,West Contra Costa Unified,Richmond Charter Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Yes,1441,Directly funded,Y,6,8,248,161,64.90%,219,88.30%,248,161,64.90%,219,88.30%,Y
2016-2017,7,61796,129643,Contra Costa,West Contra Costa Unified,Richmond Charter Elementary-Benito Juarez,Unified School District,Elementary Schools (Public),Traditional,,Yes,1660,Directly funded,Y,K,5,465,304,65.40%,396,85.20%,458,299,65.30%,389,84.90%,Y
2016-2017,7,61796,132100,Contra Costa,West Contra Costa Unified,Aspire Richmond Ca. College Preparatory Academy,Unified School District,K-12 Schools (Public),Traditional,,Yes,1739,Directly funded,Y,6,12,348,188,54.00%,255,73.30%,339,182,53.70%,246,72.60%,Y
2016-2017,7,61796,132118,Contra Costa,West Contra Costa Unified,Aspire Richmond Technology Academy,Unified School District,Elementary Schools (Public),Traditional,,Yes,1740,Directly funded,Y,K,5,286,168,58.70%,236,82.50%,284,167,58.80%,234,82.40%,Y
2016-2017,7,61796,132233,Contra Costa,West Contra Costa Unified,John Henry High,Unified School District,High Schools (Public),Traditional,,Yes,1741,Directly funded,Y,9,12,202,141,69.80%,172,85.10%,201,140,69.70%,171,85.10%,Y
2016-2017,7,61796,133637,Contra Costa,West Contra Costa Unified,Summit Public School: Tamalpais,Unified School District,High Schools (Public),Traditional,,Yes,1774,Directly funded,Y,7,12,117,42,35.90%,76,65.00%,117,42,35.90%,76,65.00%,Y
2016-2017,7,61796,730291,Contra Costa,West Contra Costa Unified,Middle College High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,285,103,36.10%,143,50.20%,281,100,35.60%,140,49.80%,Y
2016-2017,7,61796,730325,Contra Costa,West Contra Costa Unified,Vista High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,Lunch Provision 2,No ,,,N,K,12,261,160,61.30%,176,67.40%,127,73,57.50%,79,62.20%,Y
2016-2017,7,61796,730598,Contra Costa,West Contra Costa Unified,Hercules High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,996,335,33.60%,404,40.60%,967,317,32.80%,386,39.90%,Y
2016-2017,7,61796,732164,Contra Costa,West Contra Costa Unified,De Anza High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1331,745,56.00%,898,67.50%,1294,726,56.10%,873,67.50%,Y
2016-2017,7,61796,732941,Contra Costa,West Contra Costa Unified,El Cerrito High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1460,563,38.60%,688,47.10%,1417,544,38.40%,666,47.00%,Y
2016-2017,7,61796,733253,Contra Costa,West Contra Costa Unified,Greenwood Academy,Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,,,N,9,12,345,241,69.90%,265,76.80%,250,196,78.40%,214,85.60%,Y
2016-2017,7,61796,733659,Contra Costa,West Contra Costa Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,915,693,75.70%,757,82.70%,870,665,76.40%,726,83.40%,Y
2016-2017,7,61796,735316,Contra Costa,West Contra Costa Unified,Pinole Valley High,Unified School District,High Schools (Public),Traditional,,No ,,,N,9,12,1164,564,48.50%,687,59.00%,1118,541,48.40%,663,59.30%,Y
2016-2017,7,61796,735902,Contra Costa,West Contra Costa Unified,Richmond High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,,,N,9,12,1590,1312,82.50%,1479,93.00%,1512,1248,82.50%,1408,93.10%,Y
2016-2017,7,61796,6004600,Contra Costa,West Contra Costa Unified,Bayview Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,575,462,80.30%,519,90.30%,563,456,81.00%,513,91.10%,Y
2016-2017,7,61796,6004659,Contra Costa,West Contra Costa Unified,Collins Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,332,156,47.00%,191,57.50%,332,156,47.00%,191,57.50%,Y
2016-2017,7,61796,6004667,Contra Costa,West Contra Costa Unified,Coronado Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,443,359,81.00%,413,93.20%,428,347,81.10%,400,93.50%,Y
2016-2017,7,61796,6004691,Contra Costa,West Contra Costa Unified,Dover Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,698,529,75.80%,636,91.10%,682,523,76.70%,622,91.20%,Y
2016-2017,7,61796,6004733,Contra Costa,West Contra Costa Unified,Ellerhorst Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,366,121,33.10%,151,41.30%,366,121,33.10%,151,41.30%,Y
2016-2017,7,61796,6004741,Contra Costa,West Contra Costa Unified,Highland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,484,359,74.20%,429,88.60%,484,359,74.20%,429,88.60%,Y
2016-2017,7,61796,6004758,Contra Costa,West Contra Costa Unified,Fairmont Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,553,272,49.20%,314,56.80%,553,272,49.20%,314,56.80%,Y
2016-2017,7,61796,6004766,Contra Costa,West Contra Costa Unified,Ford Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,476,347,72.90%,422,88.70%,468,343,73.30%,416,88.90%,Y
2016-2017,7,61796,6004774,Contra Costa,West Contra Costa Unified,Grant Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,490,425,86.70%,472,96.30%,476,418,87.80%,460,96.60%,Y
2016-2017,7,61796,6004782,Contra Costa,West Contra Costa Unified,Harding Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,420,122,29.00%,140,33.30%,404,119,29.50%,137,33.90%,Y
2016-2017,7,61796,6004808,Contra Costa,West Contra Costa Unified,Kensington Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,507,29,5.70%,39,7.70%,507,29,5.70%,39,7.70%,Y
2016-2017,7,61796,6004824,Contra Costa,West Contra Costa Unified,Lake Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,415,339,81.70%,394,94.90%,401,332,82.80%,383,95.50%,Y
2016-2017,7,61796,6004832,Contra Costa,West Contra Costa Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,427,394,92.30%,412,96.50%,427,394,92.30%,412,96.50%,Y
2016-2017,7,61796,6004840,Contra Costa,West Contra Costa Unified,Madera Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,508,72,14.20%,88,17.30%,507,71,14.00%,87,17.20%,Y
2016-2017,7,61796,6004857,Contra Costa,West Contra Costa Unified,Mira Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,8,558,268,48.00%,324,58.10%,556,268,48.20%,324,58.30%,Y
2016-2017,7,61796,6004865,Contra Costa,West Contra Costa Unified,Montalvin Manor Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,431,283,65.70%,368,85.40%,414,280,67.60%,361,87.20%,Y
2016-2017,7,61796,6004873,Contra Costa,West Contra Costa Unified,Murphy Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,509,288,56.60%,323,63.50%,508,287,56.50%,322,63.40%,Y
2016-2017,7,61796,6004881,Contra Costa,West Contra Costa Unified,Nystrom Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,503,445,88.50%,482,95.80%,490,434,88.60%,471,96.10%,Y
2016-2017,7,61796,6004899,Contra Costa,West Contra Costa Unified,Olinda Elementary,Unified School District,Elementary Schools (Public),Traditional,,No ,,,N,K,6,307,79,25.70%,92,30.00%,293,77,26.30%,89,30.40%,Y
2016-2017,7,61796,6004907,Contra Costa,West Contra Costa Unified,Peres Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,531,472,88.90%,509,95.90%,513,458,89.30%,492,95.90%,Y
2016-2017,7,61796,6004915,Contra Costa,West Contra Costa Unified,"Martin Luther King, Jr. Elementary",Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,453,423,93.40%,439,96.90%,453,423,93.40%,439,96.90%,Y
2016-2017,7,61796,6004931,Contra Costa,West Contra Costa Unified,Riverside Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,,,N,K,6,371,286,77.10%,340,91.60%,371,286,77.10%,340,91.60%,Y
